               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042322,            0.018484,           0.0085701,             0.91186,             0.98535,             0.99515,             0.57167,            0.026589,            0.007177,           0.0013817,           0.0033245,           0.0033245,             0.07008
                   1,            0.029985,            0.010897,           0.0016927,             0.99896,                   1,             0.99578,             0.83359,            0.032337,           0.0047228,           0.0011988,           0.0065275,           0.0065275,            0.039949
                   2,            0.027188,            0.010483,           0.0021781,             0.18568,             0.97582,               0.197,             0.12758,            0.024436,            0.020865,           0.0073166,           0.0092279,           0.0092279,           0.0093165
                   3,            0.024287,            0.011204,           0.0020597,             0.99966,                   1,             0.99527,             0.88637,            0.012421,           0.0049935,          0.00073761,           0.0083511,           0.0083511,           0.0083511
                   4,            0.020939,           0.0097798,            0.001014,             0.99845,                   1,             0.99555,              0.8655,            0.013629,           0.0051413,           0.0013844,           0.0083511,           0.0083511,           0.0083511
                   5,            0.020267,           0.0098916,           0.0012108,             0.99974,                   1,             0.99616,             0.89718,           0.0078791,           0.0049896,           0.0005255,           0.0072361,           0.0072361,           0.0072361
                   6,            0.017207,           0.0088616,          0.00047518,             0.99942,                   1,             0.99626,             0.91708,            0.010135,            0.004148,          0.00047454,               0.006,               0.006,               0.006
                   7,            0.017796,           0.0086371,          0.00036416,             0.99978,                   1,             0.99621,             0.91598,           0.0067509,           0.0035587,          0.00032858,           0.0047639,           0.0047639,           0.0047639
                   8,            0.014954,           0.0084412,          0.00047137,             0.99939,                   1,             0.99608,             0.93471,           0.0069665,           0.0034823,          0.00077911,           0.0036489,           0.0036489,           0.0036489
