               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042322,            0.018484,           0.0085701,             0.90009,             0.98535,             0.98222,             0.56347,             0.02713,           0.0070664,           0.0013531,           0.0033245,           0.0033245,             0.07008
                   1,            0.029064,             0.01091,           0.0017084,              0.9826,                   1,             0.97971,             0.76918,            0.013965,           0.0045999,           0.0010959,           0.0061492,           0.0061492,            0.039571
                   2,            0.025392,            0.010421,           0.0019512,             0.98176,                   1,             0.98419,             0.73452,            0.026222,           0.0044617,          0.00067414,           0.0072297,           0.0072297,           0.0073183
                   3,            0.019754,           0.0095853,           0.0010077,             0.98119,                   1,             0.98053,             0.82203,            0.014028,           0.0046032,           0.0009263,           0.0047639,           0.0047639,           0.0047639
                   4,            0.018156,           0.0090462,          0.00080481,             0.98217,                   1,             0.99125,              0.8871,            0.014385,            0.003416,          0.00032415,           0.0047639,           0.0047639,           0.0047639
