               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04392,            0.071999,            0.018851,             0.71973,             0.55207,              0.6479,             0.42527,            0.041644,            0.040548,            0.013608,               7e-05,               7e-05,             0.09937
                   1,            0.044239,            0.062357,            0.021264,             0.72285,             0.55187,             0.65274,             0.42656,            0.041521,             0.04022,            0.013379,             0.00015,             0.00015,             0.09865
                   2,            0.043074,            0.069012,            0.018534,             0.71309,             0.56488,             0.65874,             0.43156,            0.041254,            0.039893,            0.013104,          0.00022998,          0.00022998,             0.09793
                   3,            0.043426,            0.064496,            0.020725,             0.69131,             0.57335,             0.66251,             0.43342,            0.040974,            0.039576,             0.01274,          0.00030994,          0.00030994,             0.09721
                   4,            0.045216,            0.065979,             0.01971,             0.65601,             0.62039,             0.67012,             0.44024,            0.040603,            0.039221,            0.012376,          0.00038986,          0.00038986,             0.09649
                   5,            0.043308,            0.065449,            0.018124,             0.71496,             0.59577,             0.66968,             0.44212,            0.040361,            0.038888,            0.012072,          0.00046974,          0.00046974,             0.09577
                   6,             0.04331,            0.057649,            0.019225,             0.65278,             0.65598,             0.68335,             0.45039,            0.040159,            0.038553,            0.011783,          0.00054957,          0.00054957,             0.09505
                   7,            0.043467,            0.060313,            0.019444,             0.68073,             0.65916,             0.69532,                0.46,            0.039965,            0.038155,            0.011322,          0.00062932,          0.00062932,            0.094329
                   8,            0.041863,            0.069122,            0.017291,             0.72091,             0.64005,             0.70264,             0.46469,            0.039711,            0.037866,            0.010881,            0.000709,            0.000709,            0.093609
                   9,            0.044933,            0.060761,            0.018802,              0.7001,             0.67115,             0.70587,             0.47246,            0.039536,            0.037543,            0.010505,           0.0007886,           0.0007886,            0.092889
                  10,            0.043733,            0.061278,            0.018037,             0.71868,              0.6627,             0.71539,             0.47804,             0.03933,            0.037116,             0.01004,          0.00086809,          0.00086809,            0.092168
                  11,            0.044415,            0.065729,             0.01674,             0.71988,             0.67092,             0.72222,             0.48766,            0.039131,            0.036817,           0.0097308,          0.00094748,          0.00094748,            0.091447
                  12,            0.042685,            0.056807,            0.017517,             0.68356,             0.71613,             0.73354,             0.49374,            0.038922,            0.036424,           0.0092381,           0.0010268,           0.0010268,            0.090727
                  13,            0.043488,            0.067623,            0.016066,             0.77144,             0.67259,             0.74356,             0.49903,            0.038558,            0.035979,           0.0088223,           0.0011059,           0.0011059,            0.090006
                  14,            0.042578,            0.058255,            0.017036,             0.82725,             0.64484,              0.7458,             0.49758,            0.038469,            0.035694,           0.0086537,           0.0011849,           0.0011849,            0.089285
                  15,            0.041576,            0.060396,            0.015182,             0.81444,             0.66362,             0.74959,             0.50459,            0.038233,            0.035443,           0.0084218,           0.0012637,           0.0012637,            0.088564
                  16,             0.04082,            0.062696,             0.01527,             0.84661,             0.64888,             0.75961,             0.52152,             0.03795,            0.034782,           0.0081388,           0.0013424,           0.0013424,            0.087842
                  17,            0.041054,            0.058734,             0.01396,             0.84555,              0.6677,             0.77512,             0.53443,            0.037627,            0.034387,           0.0079717,            0.001421,            0.001421,            0.087121
                  18,            0.041155,            0.051506,            0.013183,             0.81765,             0.68848,             0.77467,              0.5326,            0.037437,            0.034085,            0.007801,           0.0014993,           0.0014993,            0.086399
                  19,            0.040719,            0.059811,            0.015525,             0.81632,             0.68705,             0.78442,             0.54292,            0.037165,            0.033706,           0.0074843,           0.0015775,           0.0015775,            0.085677
                  20,            0.039912,            0.056547,             0.01277,             0.83752,             0.67763,             0.78934,             0.54572,            0.036809,            0.033309,           0.0072741,           0.0016554,           0.0016554,            0.084955
                  21,            0.040566,            0.060629,             0.01188,             0.82126,             0.70088,             0.79237,             0.55467,            0.036741,            0.033046,           0.0071149,           0.0017331,           0.0017331,            0.084233
                  22,            0.041582,            0.058796,            0.012479,             0.85437,             0.70274,             0.80677,             0.55744,            0.036633,            0.032571,            0.006873,           0.0018107,           0.0018107,            0.083511
                  23,            0.041636,            0.056984,            0.013037,             0.84286,             0.71957,             0.80962,             0.55699,            0.036252,            0.032148,           0.0065124,           0.0018879,           0.0018879,            0.082788
                  24,            0.040574,            0.057106,            0.012426,             0.85312,             0.72106,             0.81728,             0.56048,            0.036182,            0.031909,           0.0063019,            0.001965,            0.001965,            0.082065
                  25,            0.038535,            0.051879,             0.01331,             0.84867,             0.72218,             0.81388,              0.5656,            0.036644,            0.031773,           0.0061573,           0.0020418,           0.0020418,            0.081342
                  26,            0.040129,            0.055354,            0.011488,             0.82547,             0.72683,             0.81735,             0.54622,            0.037133,            0.031674,           0.0059632,           0.0021183,           0.0021183,            0.080618
                  27,            0.040886,            0.051153,            0.012449,             0.79085,             0.75439,              0.8284,              0.5713,            0.036218,            0.031387,           0.0059235,           0.0021946,           0.0021946,            0.079895
                  28,            0.038961,            0.056327,            0.010802,              0.8396,              0.7329,             0.83365,             0.58074,            0.036337,            0.031193,           0.0058382,           0.0022706,           0.0022706,            0.079171
                  29,            0.038391,            0.050025,            0.010752,             0.80094,             0.75964,             0.83153,              0.5762,            0.036373,            0.031046,           0.0058566,           0.0023463,           0.0023463,            0.078446
                  30,            0.039359,            0.054962,            0.011039,             0.84651,             0.74252,             0.83693,             0.58271,            0.035765,            0.030801,           0.0056283,           0.0024216,           0.0024216,            0.077722
                  31,            0.040557,            0.053057,             0.01065,             0.85104,             0.76374,             0.84254,             0.58464,            0.035913,            0.030308,           0.0053633,           0.0024967,           0.0024967,            0.076997
                  32,            0.039337,            0.049559,            0.010846,             0.86672,             0.74781,             0.84757,              0.5854,            0.035952,            0.029585,           0.0051927,           0.0025715,           0.0025715,            0.076271
                  33,            0.041655,            0.054135,            0.010603,             0.84122,              0.7773,               0.851,             0.59071,            0.036034,            0.029419,           0.0050394,           0.0026459,           0.0026459,            0.075546
                  34,            0.040785,            0.051716,            0.010999,              0.8096,             0.78689,             0.84315,             0.56463,            0.038218,             0.02947,           0.0050157,             0.00272,             0.00272,             0.07482
                  35,            0.040787,            0.053004,              0.0105,             0.84583,             0.79124,             0.86159,             0.60702,            0.035049,            0.029227,           0.0050044,           0.0027938,           0.0027938,            0.074094
                  36,            0.040731,            0.053229,            0.010016,             0.85809,             0.78328,             0.86294,             0.59223,            0.036014,            0.028923,            0.004903,           0.0028671,           0.0028671,            0.073367
                  37,            0.038574,            0.055124,            0.010849,              0.8641,             0.78948,             0.87296,             0.61263,            0.034911,            0.028552,           0.0047596,           0.0029402,           0.0029402,             0.07264
                  38,            0.037882,            0.050246,           0.0087153,             0.82075,               0.822,              0.8742,             0.61035,            0.034758,            0.028155,           0.0046891,           0.0030128,           0.0030128,            0.071913
                  39,            0.037896,            0.047322,           0.0091917,             0.83082,             0.79526,             0.86161,             0.60569,            0.036103,             0.02808,           0.0046461,           0.0030851,           0.0030851,            0.071185
                  40,            0.042026,            0.053035,             0.01051,              0.8315,             0.80281,             0.87027,              0.5781,            0.036959,            0.028777,           0.0046148,           0.0031569,           0.0031569,            0.070457
                  41,            0.039787,            0.047782,            0.010591,             0.85905,             0.80493,              0.8762,             0.59617,            0.036526,            0.028112,           0.0046659,           0.0032284,           0.0032284,            0.069728
                  42,            0.039969,            0.051112,           0.0091496,             0.84309,             0.81682,             0.87224,             0.59031,            0.036275,            0.027924,           0.0046293,           0.0032994,           0.0032994,            0.068999
                  43,            0.039525,            0.047602,           0.0088278,             0.86844,             0.78601,             0.86895,             0.60904,            0.034745,            0.027577,           0.0045154,             0.00337,             0.00337,             0.06827
                  44,            0.037568,            0.048816,            0.010028,             0.85813,             0.80809,             0.87849,             0.62413,             0.03544,            0.027515,           0.0043479,           0.0034402,           0.0034402,             0.06754
                  45,            0.040552,            0.052518,            0.010044,             0.88429,              0.8107,              0.8838,             0.62506,            0.034402,            0.027489,           0.0043877,             0.00351,             0.00351,             0.06681
                  46,            0.039274,            0.051883,           0.0094334,             0.84934,             0.81614,             0.88598,             0.58989,            0.037637,            0.027218,           0.0043315,           0.0035793,           0.0035793,            0.066079
                  47,            0.038935,            0.050944,           0.0078246,             0.88258,             0.81069,             0.88565,             0.63855,            0.035601,            0.026862,           0.0044405,           0.0036482,           0.0036482,            0.065348
                  48,            0.036986,            0.045355,           0.0085739,             0.87714,             0.82702,             0.88827,             0.64527,            0.033676,            0.026506,           0.0044072,           0.0037165,           0.0037165,            0.064617
                  49,            0.039778,            0.052648,           0.0093352,             0.86084,             0.82915,             0.88978,              0.6065,            0.035219,            0.026623,           0.0043912,           0.0037845,           0.0037845,            0.063884
                  50,            0.039287,             0.04438,           0.0090911,             0.85098,             0.85255,             0.89659,             0.62534,            0.034838,            0.026411,           0.0043237,           0.0038519,           0.0038519,            0.063152
                  51,            0.038362,            0.050255,           0.0091631,             0.82268,             0.84703,             0.88507,             0.61933,            0.035167,            0.026527,           0.0042035,           0.0039188,           0.0039188,            0.062419
                  52,            0.038785,            0.045687,            0.008804,             0.84382,             0.85624,             0.89353,             0.60404,            0.036711,            0.026438,           0.0041185,           0.0039853,           0.0039853,            0.061685
                  53,            0.040961,             0.04353,            0.008484,              0.8744,             0.82878,             0.89335,             0.61743,            0.035402,            0.025979,           0.0041751,           0.0040512,           0.0040512,            0.060951
                  54,            0.037359,            0.052555,           0.0087471,             0.91895,             0.82361,             0.89974,             0.62397,            0.035183,            0.026039,           0.0042148,           0.0041166,           0.0041166,            0.060217
                  55,            0.037848,            0.046953,           0.0088965,             0.90976,             0.83931,             0.91102,             0.65649,            0.033128,            0.025766,           0.0042139,           0.0041815,           0.0041815,            0.059482
                  56,            0.037376,            0.046061,           0.0084985,             0.90071,             0.82161,              0.8958,              0.6283,            0.033822,            0.025699,           0.0041745,           0.0042459,           0.0042459,            0.058746
                  57,            0.040078,            0.050488,           0.0074414,             0.86747,             0.83674,             0.89514,             0.62734,            0.035548,             0.02563,           0.0041251,           0.0043098,           0.0043098,             0.05801
                  58,             0.04121,            0.045947,           0.0072105,             0.88434,              0.8242,             0.89375,             0.63027,            0.034618,            0.025314,           0.0042105,            0.004373,            0.004373,            0.057273
                  59,            0.037826,            0.049364,           0.0086308,             0.84227,             0.88778,             0.91158,             0.65907,            0.031897,            0.025175,           0.0041681,           0.0044358,           0.0044358,            0.056536
                  60,            0.038339,            0.044487,           0.0085024,             0.89076,             0.84464,             0.90982,             0.62808,            0.034635,            0.025496,           0.0041985,            0.004498,            0.004498,            0.055798
                  61,            0.038061,            0.048694,            0.009017,              0.8902,             0.83548,             0.90964,             0.62001,            0.035166,            0.025282,           0.0041289,           0.0045596,           0.0045596,             0.05506
                  62,            0.038396,            0.043473,           0.0079993,             0.88527,             0.80183,              0.8919,              0.5494,            0.041041,            0.025889,           0.0040799,           0.0046206,           0.0046206,            0.054321
                  63,            0.042788,            0.046247,           0.0083099,             0.89447,             0.82148,             0.90231,             0.59877,            0.035282,            0.025016,           0.0042421,           0.0046811,           0.0046811,            0.053581
                  64,            0.039491,            0.047468,           0.0089097,             0.91046,              0.8396,             0.91298,             0.64295,             0.03374,            0.024801,           0.0044008,           0.0047409,           0.0047409,            0.052841
                  65,            0.038728,            0.046394,           0.0087814,             0.88952,             0.81714,             0.88942,             0.61473,            0.037056,            0.024449,           0.0043503,           0.0048002,           0.0048002,              0.0521
                  66,            0.041101,            0.044909,           0.0079301,             0.85153,             0.83371,             0.90017,             0.63139,            0.035956,             0.02428,           0.0044262,           0.0048589,           0.0048589,            0.051359
                  67,            0.039672,            0.048018,           0.0092307,              0.9109,             0.82752,             0.90574,             0.66135,            0.033605,            0.023837,           0.0043742,            0.004917,            0.004917,            0.050617
                  68,            0.039658,            0.043738,           0.0082367,             0.90161,             0.82236,             0.90086,             0.65101,            0.034889,             0.02385,           0.0043477,           0.0049744,           0.0049744,            0.049874
                  69,             0.04137,            0.042678,           0.0090173,              0.8915,             0.84227,             0.90639,              0.6527,            0.034578,            0.023797,           0.0044122,           0.0050312,           0.0050312,            0.049131
                  70,            0.040488,            0.047277,           0.0078096,             0.89784,             0.82164,             0.90741,             0.62831,            0.035394,            0.023952,           0.0044989,           0.0050875,           0.0050875,            0.048387
                  71,            0.037865,            0.045309,           0.0084765,             0.90967,             0.84009,             0.91353,             0.61777,            0.035472,            0.024335,           0.0045621,            0.005143,            0.005143,            0.047643
                  72,            0.041765,            0.045879,            0.008663,             0.84042,             0.83604,             0.88824,                0.61,            0.036635,            0.024593,           0.0046748,            0.005198,            0.005198,            0.046898
                  73,            0.041048,              0.0431,           0.0086108,             0.88518,             0.83854,             0.90925,             0.63445,            0.034828,            0.024629,           0.0046737,           0.0052522,           0.0052522,            0.046152
                  74,            0.039697,            0.046983,           0.0082655,             0.90682,             0.85416,             0.91471,             0.63133,            0.035038,            0.023923,           0.0044607,           0.0053059,           0.0053059,            0.045406
                  75,            0.043409,            0.042967,           0.0080658,             0.90406,             0.84781,             0.91119,             0.62335,            0.037844,            0.024017,           0.0045216,           0.0053589,           0.0053589,            0.044659
                  76,            0.042496,             0.04558,           0.0078062,              0.8839,              0.8669,             0.91879,             0.64307,            0.033969,            0.023823,           0.0047278,           0.0054112,           0.0054112,            0.043911
                  77,            0.036345,            0.045051,           0.0078393,             0.91128,             0.84328,              0.9198,             0.63686,            0.033479,            0.024039,           0.0046603,           0.0054628,           0.0054628,            0.043163
                  78,            0.040418,            0.043082,           0.0082187,             0.89091,             0.84511,             0.91854,             0.62953,            0.036203,            0.024006,           0.0046758,           0.0055138,           0.0055138,            0.042414
                  79,            0.039571,             0.04881,           0.0081518,             0.89177,             0.85134,             0.91613,             0.64449,            0.033843,            0.023685,           0.0047396,           0.0055641,           0.0055641,            0.041664
                  80,            0.038174,            0.041835,           0.0076571,             0.89452,             0.87769,             0.92629,             0.65237,            0.034377,            0.023828,           0.0047424,           0.0056137,           0.0056137,            0.040914
                  81,            0.042072,            0.042321,           0.0086481,             0.87528,              0.8604,             0.92441,             0.59113,            0.037811,            0.024102,            0.004584,           0.0056626,           0.0056626,            0.040163
                  82,            0.041672,            0.040242,           0.0080155,             0.89422,             0.84644,             0.91311,             0.64233,            0.034755,              0.0238,           0.0047095,           0.0057109,           0.0057109,            0.039411
